FS,CS,AS,Dst,dataset
11,2,2,0,config/Apache_AllMeasurements.csv
00,2,2,0,config/SS-B.csv
11,3,2,1,config/SS-D.csv
12,3,0,0,config/SS-E.csv
13,1,0,0,config/SS-F.csv
13,1,0,1,config/SS-G.csv
12,3,2,1,config/SS-H.csv
11,3,2,0,config/SS-M.csv
12,2,2,0,config/SS-O.csv
00,1,2,1,config/wc+rs-3d-c4-obj1.csv
13,1,0,0,config/wc+sol-3d-c4-obj1.csv
13,3,2,1,config/wc+wc-3d-c4-obj1.csv
11,3,2,1,misc/auto93.csv
11,1,2,1,process/nasa93dem.csv
12,2,2,1,process/pom3d.csv
11,2,2,0,config/rs-6d-c3_obj1.csv
13,2,2,1,config/HSMGP_num.csv
11,2,0,1,config/rs-6d-c3_obj2.csv
13,3,2,0,config/sol-6d-c2-obj1.csv
11,3,2,0,config/SS-A.csv
11,2,0,1,config/SS-C.csv
13,2,2,0,config/SS-I.csv
12,3,0,1,config/SS-J.csv
11,2,2,0,config/SS-L.csv
12,3,2,0,config/SS-K.csv
12,3,2,0,config/SS-P.csv
11,3,2,1,config/SS-Q.csv
13,2,2,0,config/SS-S.csv
13,3,2,1,config/SS-R.csv
12,1,2,0,config/wc-6d-c1-obj1.csv
11,2,2,0,config/X264_AllMeasurements.csv
11,3,2,1,misc/Wine_quality.csv
12,3,2,0,process/pom3a.csv
20,3,2,1,process/pom3b.csv
20,2,2,0,process/pom3c.csv
12,3,2,1,config/SQL_AllMeasurements.csv
11,2,2,0,config/SS-U.csv
12,2,2,0,config/SS-T.csv
12,2,2,0,config/SS-V.csv
12,3,2,0,hpo/healthCloseIsses12mths0001-hard.csv
11,4,2,0,hpo/healthCloseIsses12mths0011-easy.csv
00,3,0,0,process/xomo_flight.csv
00,1,0,0,process/xomo_ground.csv
11,1,0,1,process/xomo_osp.csv
00,3,0,1,process/xomo_osp2.csv
12,1,2,0,config/SS-N.csv
11,2,2,1,config/SS-W.csv
11,2,0,1,config/SS-X.csv
00,1,0,0,misc/auto93.csv
00,3,2,0,misc/auto93.csv
00,1,0,1,misc/auto93_Acc+.csv
20,3,0,1,misc/auto93_Lbs-.csv
13,2,2,1,misc/auto93_Mpg+.csv
12,2,2,0,config/Apache_AllMeasurements_Performance-.csv
