Spout_wait,Spliters,Counters,Throughput+
1,1,1,8006.2
1,1,2,10818.0
1,1,3,11601.0
1,1,4,11537.0
1,1,5,12999.0
1,1,6,12285.0
1,1,7,12032.0
1,1,8,13630.0
1,1,9,12168.0
1,1,10,13055.0
1,1,11,14500.0
1,1,12,12239.0
1,1,13,12596.0
1,1,14,15891.0
1,1,15,13164.0
1,1,16,12781.0
1,1,17,16487.0
1,1,18,12962.0
1,2,1,8587.7
1,2,2,11514.0
1,2,3,12493.0
1,2,4,14253.0
1,2,5,14658.0
1,2,6,14244.0
1,2,7,15192.0
1,2,8,16267.0
1,2,9,15377.0
1,2,10,16738.0
1,2,11,16819.0
1,2,12,15830.0
1,2,13,16286.0
1,2,14,17417.0
1,2,15,16529.0
1,2,16,18331.0
1,2,17,18839.0
1,2,18,15819.0
1,3,1,7905.6
1,3,2,11995.0
1,3,3,13484.0
1,3,4,14334.0
1,3,5,14845.0
1,3,6,14644.0
1,3,7,16029.0
1,3,8,16550.0
1,3,9,17202.0
1,3,10,17784.0
1,3,11,17484.0
1,3,12,18268.0
1,3,13,18222.0
1,3,14,17396.0
1,3,15,19206.0
1,3,16,18801.0
1,3,17,19818.0
1,3,18,18647.0
1,4,1,8297.3
1,4,2,11975.0
1,4,3,13958.0
1,4,4,14204.0
1,4,5,15173.0
1,4,6,15596.0
1,4,7,15648.0
1,4,8,16533.0
1,4,9,15607.0
1,4,10,17669.0
1,4,11,17728.0
1,4,12,18493.0
1,4,13,18710.0
1,4,14,17538.0
1,4,15,18404.0
1,4,16,17685.0
1,4,17,19895.0
1,4,18,18807.0
1,5,1,8381.5
1,5,2,11395.0
1,5,3,13665.0
1,5,4,14629.0
1,5,5,14958.0
1,5,6,15394.0
1,5,7,15979.0
1,5,8,15568.0
1,5,9,17086.0
1,5,10,18338.0
1,5,11,17640.0
1,5,12,18590.0
1,5,13,18384.0
1,5,14,17701.0
1,5,15,19350.0
1,5,16,19524.0
1,5,17,20391.0
1,5,18,19409.0
1,6,1,8439.5
1,6,2,11370.0
1,6,3,13978.0
1,6,4,14036.0
1,6,5,14816.0
1,6,6,15571.0
1,6,7,14952.0
1,6,8,16616.0
1,6,9,17646.0
1,6,10,18354.0
1,6,11,18004.0
1,6,12,18961.0
1,6,13,17982.0
1,6,14,18238.0
1,6,15,19629.0
1,6,16,19256.0
1,6,17,20024.0
1,6,18,19152.0
2,1,1,8337.3
2,1,2,11726.0
2,1,3,12804.0
2,1,4,12507.0
2,1,5,13998.0
2,1,6,12043.0
2,1,7,12766.0
2,1,8,14679.0
2,1,9,13015.0
2,1,10,13940.0
2,1,11,16112.0
2,1,12,13566.0
2,1,13,13554.0
2,1,14,16567.0
2,1,15,13883.0
2,1,16,14072.0
2,1,17,16256.0
2,1,18,13858.0
2,2,1,9093.2
2,2,2,11914.0
