twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,Threads,ArnrMaxFrames,ArnrStrength,Performance-
0,1,0,0,1,0,0,0,0,0,0,1,0,0,86920.4
0,1,0,0,1,0,0,0,0,0,0,2,0,0,86441.2
0,1,0,0,1,0,0,0,0,0,0,4,0,0,86236.0
0,1,0,0,1,0,0,0,0,0,0,8,0,0,86426.6
0,1,0,0,1,0,0,0,0,0,0,1,5,0,86707.4
0,1,0,0,1,0,0,0,0,0,0,2,5,0,86448.0
0,1,0,0,1,0,0,0,0,0,0,4,5,0,86558.4
0,1,0,0,1,0,0,0,0,0,0,8,5,0,86496.0
0,1,0,0,1,0,0,0,0,0,0,1,15,0,86420.6
0,1,0,0,1,0,0,0,0,0,0,2,15,0,86397.8
0,1,0,0,1,0,0,0,0,0,0,4,15,0,86329.0
0,1,0,0,1,0,0,0,0,0,0,8,15,0,86838.6
0,1,0,0,1,0,0,0,0,0,0,1,0,3,86543.4
0,1,0,0,1,0,0,0,0,0,0,2,0,3,86447.2
0,1,0,0,1,0,0,0,0,0,0,4,0,3,86673.2
0,1,0,0,1,0,0,0,0,0,0,8,0,3,86499.8
0,1,0,0,1,0,0,0,0,0,0,1,5,3,86464.0
0,1,0,0,1,0,0,0,0,0,0,2,5,3,86340.2
0,1,0,0,1,0,0,0,0,0,0,4,5,3,86369.6
0,1,0,0,1,0,0,0,0,0,0,8,5,3,86393.4
0,1,0,0,1,0,0,0,0,0,0,1,15,3,86449.4
0,1,0,0,1,0,0,0,0,0,0,2,15,3,86572.8
0,1,0,0,1,0,0,0,0,0,0,4,15,3,86338.2
0,1,0,0,1,0,0,0,0,0,0,8,15,3,86263.8
0,1,0,0,1,0,0,0,0,0,0,1,0,6,86546.4
0,1,0,0,1,0,0,0,0,0,0,2,0,6,86715.2
0,1,0,0,1,0,0,0,0,0,0,4,0,6,86639.0
0,1,0,0,1,0,0,0,0,0,0,8,0,6,86490.2
0,1,0,0,1,0,0,0,0,0,0,1,5,6,86447.8
0,1,0,0,1,0,0,0,0,0,0,2,5,6,86530.2
0,1,0,0,1,0,0,0,0,0,0,4,5,6,86639.6
0,1,0,0,1,0,0,0,0,0,0,8,5,6,86327.2
0,1,0,0,1,0,0,0,0,0,0,1,15,6,86351.2
0,1,0,0,1,0,0,0,0,0,0,2,15,6,86617.4
0,1,0,0,1,0,0,0,0,0,0,4,15,6,86484.0
0,1,0,0,1,0,0,0,0,0,0,8,15,6,86665.2
0,1,0,0,1,0,0,0,0,0,1,1,0,0,86784.6
0,1,0,0,1,0,0,0,0,0,1,2,0,0,86925.2
0,1,0,0,1,0,0,0,0,0,1,4,0,0,87072.0
0,1,0,0,1,0,0,0,0,0,1,8,0,0,86632.6
0,1,0,0,1,0,0,0,0,0,1,1,5,0,86481.6
0,1,0,0,1,0,0,0,0,0,1,2,5,0,86855.2
0,1,0,0,1,0,0,0,0,0,1,4,5,0,86698.4
0,1,0,0,1,0,0,0,0,0,1,8,5,0,86717.4
0,1,0,0,1,0,0,0,0,0,1,1,15,0,86689.4
0,1,0,0,1,0,0,0,0,0,1,2,15,0,86433.8
0,1,0,0,1,0,0,0,0,0,1,4,15,0,87178.6
0,1,0,0,1,0,0,0,0,0,1,8,15,0,86937.4
0,1,0,0,1,0,0,0,0,0,1,1,0,3,86696.4
0,1,0,0,1,0,0,0,0,0,1,2,0,3,86866.2
0,1,0,0,1,0,0,0,0,0,1,4,0,3,86661.6
0,1,0,0,1,0,0,0,0,0,1,8,0,3,86868.2
0,1,0,0,1,0,0,0,0,0,1,1,5,3,86580.2
0,1,0,0,1,0,0,0,0,0,1,2,5,3,86656.0
0,1,0,0,1,0,0,0,0,0,1,4,5,3,86661.2
0,1,0,0,1,0,0,0,0,0,1,8,5,3,86712.2
0,1,0,0,1,0,0,0,0,0,1,1,15,3,86913.4
0,1,0,0,1,0,0,0,0,0,1,2,15,3,86908.8
0,1,0,0,1,0,0,0,0,0,1,4,15,3,86901.8
0,1,0,0,1,0,0,0,0,0,1,8,15,3,86469.2
0,1,0,0,1,0,0,0,0,0,1,1,0,6,86404.2
0,1,0,0,1,0,0,0,0,0,1,2,0,6,86621.8
0,1,0,0,1,0,0,0,0,0,1,4,0,6,86612.8
0,1,0,0,1,0,0,0,0,0,1,8,0,6,86700.4
0,1,0,0,1,0,0,0,0,0,1,1,5,6,86698.8
0,1,0,0,1,0,0,0,0,0,1,2,5,6,86770.2
0,1,0,0,1,0,0,0,0,0,1,4,5,6,86636.4
0,1,0,0,1,0,0,0,0,0,1,8,5,6,86712.2
0,1,0,0,1,0,0,0,0,0,1,1,15,6,86924.0
0,1,0,0,1,0,0,0,0,0,1,2,15,6,86944.2
0,1,0,0,1,0,0,0,0,0,1,4,15,6,86993.8
0,1,0,0,1,0,0,0,0,0,1,8,15,6,86801.8
0,1,0,0,1,0,0,0,0,1,0,1,0,0,87335.2
0,1,0,0,1,0,0,0,0,1,0,2,0,0,53574.2
0,1,0,0,1,0,0,0,0,1,0,4,0,0,53410.0
0,1,0,0,1,0,0,0,0,1,0,8,0,0,53369.2
0,1,0,0,1,0,0,0,0,1,0,1,5,0,86993.6
0,1,0,0,1,0,0,0,0,1,0,2,5,0,53543.2
0,1,0,0,1,0,0,0,0,1,0,4,5,0,53489.6
