Spouts,Max_spout,Topology_level,Netty_min_wait,Message_size,Bolts,Throughput-
1.0,1.0,2.0,10.0,10.0,1.0,7368.8
1.0,1.0,2.0,10.0,10.0,2.0,7238.5
1.0,1.0,2.0,10.0,10.0,3.0,7513.0
1.0,1.0,2.0,10.0,10.0,6.0,7438.6
1.0,1.0,2.0,10.0,100.0,1.0,7385.5
1.0,1.0,2.0,10.0,100.0,2.0,7311.4
1.0,1.0,2.0,10.0,100.0,3.0,7622.1
1.0,1.0,2.0,10.0,100.0,6.0,7412.9
1.0,1.0,2.0,10.0,1000.0,1.0,7335.8
1.0,1.0,2.0,10.0,1000.0,2.0,7433.5
1.0,1.0,2.0,10.0,1000.0,3.0,7628.6
1.0,1.0,2.0,10.0,1000.0,6.0,7486.1
1.0,1.0,2.0,10.0,10000.0,1.0,3995.9
1.0,1.0,2.0,10.0,10000.0,2.0,4236.5
1.0,1.0,2.0,10.0,10000.0,3.0,6467.3
1.0,1.0,2.0,10.0,10000.0,6.0,6251.5
1.0,1.0,2.0,10.0,100000.0,1.0,1983.7
1.0,1.0,2.0,10.0,100000.0,2.0,2257.7
1.0,1.0,2.0,10.0,100000.0,3.0,3450.3
1.0,1.0,2.0,10.0,100000.0,6.0,3603.1
1.0,1.0,2.0,10.0,1000000.0,1.0,340.33
1.0,1.0,2.0,10.0,1000000.0,2.0,329.82
1.0,1.0,2.0,10.0,1000000.0,3.0,508.78
1.0,1.0,2.0,10.0,1000000.0,6.0,507.06
1.0,1.0,2.0,100.0,10.0,1.0,7082.5
1.0,1.0,2.0,100.0,10.0,2.0,6999.1
1.0,1.0,2.0,100.0,10.0,3.0,7573.9
1.0,1.0,2.0,100.0,10.0,6.0,7605.2
1.0,1.0,2.0,100.0,100.0,1.0,7338.4
1.0,1.0,2.0,100.0,100.0,2.0,7057.4
1.0,1.0,2.0,100.0,100.0,3.0,7646.4
1.0,1.0,2.0,100.0,100.0,6.0,7711.2
1.0,1.0,2.0,100.0,1000.0,1.0,7318.9
1.0,1.0,2.0,100.0,1000.0,2.0,7088.3
1.0,1.0,2.0,100.0,1000.0,3.0,7168.2
1.0,1.0,2.0,1000.0,10.0,2.0,-124.57
1.0,1.0,2.0,1000.0,10.0,3.0,7531.9
1.0,1.0,2.0,1000.0,10.0,6.0,7420.7
1.0,1.0,2.0,1000.0,100.0,1.0,7324.4
1.0,1.0,2.0,1000.0,100.0,2.0,7372.8
1.0,1.0,2.0,1000.0,100.0,3.0,7465.8
1.0,1.0,2.0,1000.0,100.0,6.0,7273.1
1.0,1.0,2.0,1000.0,1000.0,1.0,7453.5
1.0,1.0,2.0,1000.0,1000.0,2.0,7569.7
1.0,1.0,2.0,1000.0,1000.0,3.0,7516.1
1.0,1.0,2.0,1000.0,1000.0,6.0,7463.0
1.0,1.0,2.0,1000.0,10000.0,1.0,4368.8
1.0,1.0,2.0,1000.0,10000.0,2.0,4765.9
1.0,1.0,2.0,1000.0,10000.0,3.0,6207.2
1.0,1.0,2.0,1000.0,10000.0,6.0,6854.1
1.0,1.0,2.0,1000.0,100000.0,1.0,2209.6
1.0,1.0,2.0,1000.0,100000.0,2.0,2361.4
1.0,1.0,2.0,1000.0,100000.0,3.0,3537.3
1.0,1.0,2.0,1000.0,100000.0,6.0,3597.4
1.0,1.0,2.0,1000.0,1000000.0,1.0,340.11
1.0,1.0,2.0,1000.0,1000000.0,2.0,343.89
1.0,1.0,2.0,1000.0,1000000.0,3.0,547.06
1.0,1.0,2.0,1000.0,1000000.0,6.0,541.35
1.0,1.0,3.0,10.0,10.0,1.0,6444.9
1.0,1.0,3.0,10.0,10.0,2.0,6639.5
1.0,1.0,3.0,10.0,10.0,3.0,6874.3
1.0,1.0,3.0,10.0,10.0,6.0,6737.5
1.0,1.0,3.0,10.0,100.0,1.0,6538.8
1.0,1.0,3.0,10.0,100.0,2.0,6733.3
1.0,1.0,3.0,10.0,100.0,3.0,6734.8
1.0,1.0,3.0,10.0,100.0,6.0,6762.9
1.0,1.0,3.0,10.0,1000.0,1.0,6294.3
1.0,1.0,3.0,10.0,1000.0,2.0,6587.1
1.0,1.0,3.0,10.0,1000.0,3.0,6582.7
1.0,1.0,3.0,10.0,1000.0,6.0,6630.1
1.0,1.0,3.0,10.0,10000.0,1.0,2694.5
1.0,1.0,3.0,10.0,10000.0,2.0,4266.9
1.0,1.0,3.0,10.0,10000.0,3.0,4357.8
1.0,1.0,3.0,10.0,10000.0,6.0,4422.6
1.0,1.0,3.0,10.0,100000.0,1.0,1322.6
1.0,1.0,3.0,10.0,100000.0,2.0,1682.2
1.0,1.0,3.0,10.0,100000.0,3.0,1956.1
1.0,1.0,3.0,10.0,100000.0,6.0,1856.8
1.0,1.0,3.0,10.0,1000000.0,1.0,237.11
1.0,1.0,3.0,10.0,1000000.0,2.0,307.44
1.0,1.0,3.0,10.0,1000000.0,3.0,264.17
1.0,1.0,3.0,10.0,1000000.0,6.0,275.06
1.0,1.0,3.0,100.0,10.0,1.0,6709.0
1.0,1.0,3.0,100.0,10.0,2.0,6863.3
1.0,1.0,3.0,100.0,10.0,3.0,6714.3
1.0,1.0,3.0,100.0,10.0,6.0,6612.3
1.0,1.0,3.0,100.0,100.0,1.0,6329.9
