Max_spout,Spliters,Counters,Throughput-
1.0,1,1,4123.9
1.0,1,3,4098.6
1.0,1,6,4176.9
1.0,1,9,4059.4
1.0,1,12,4032.0
1.0,1,15,3983.3
1.0,1,18,4100.2
1.0,2,1,4097.1
1.0,2,3,4213.6
1.0,2,6,4123.2
1.0,2,9,4212.6
1.0,2,12,4224.6
1.0,2,15,4192.9
1.0,2,18,4229.9
1.0,3,1,4869.9
1.0,3,3,4742.8
1.0,3,6,4745.9
1.0,3,9,4646.2
1.0,3,12,4589.6
1.0,3,15,4684.3
1.0,3,18,4593.9
1.0,6,1,4849.6
1.0,6,3,4850.4
1.0,6,6,4716.8
1.0,6,9,4568.4
1.0,6,12,4638.4
1.0,6,15,4642.1
1.0,6,18,4702.3
10.0,1,1,7494.8
10.0,1,3,12690.0
10.0,1,6,13341.0
10.0,1,9,12787.0
10.0,1,12,13208.0
10.0,1,15,13048.0
10.0,1,18,13618.0
10.0,2,1,6876.2
10.0,2,3,13898.0
10.0,2,6,17445.0
10.0,2,9,18656.0
10.0,2,12,19215.0
10.0,2,15,18564.0
10.0,2,18,18872.0
10.0,3,1,7221.4
10.0,3,3,14028.0
10.0,3,6,16094.0
10.0,3,9,16038.0
10.0,3,12,15038.0
10.0,3,15,15777.0
10.0,3,18,16158.0
10.0,6,1,7599.1
10.0,6,3,16448.0
10.0,6,6,17588.0
10.0,6,9,18337.0
10.0,6,12,17812.0
10.0,6,15,18604.0
10.0,6,18,17697.0
100.0,1,1,8600.1
100.0,1,3,17561.0
100.0,1,6,17933.0
100.0,1,9,19721.0
100.0,1,12,20382.0
100.0,1,15,17886.0
100.0,1,18,21201.0
100.0,2,1,7677.3
100.0,2,3,18789.0
100.0,2,6,21809.0
100.0,2,9,24019.0
100.0,2,12,26077.0
100.0,2,15,28395.0
100.0,2,18,28405.0
100.0,3,1,7864.7
100.0,3,3,17860.0
100.0,3,6,20076.0
100.0,3,9,21596.0
100.0,3,12,20701.0
100.0,3,15,20075.0
100.0,3,18,19610.0
100.0,6,1,8636.8
100.0,6,3,19318.0
100.0,6,6,21305.0
100.0,6,9,22039.0
100.0,6,12,23470.0
100.0,6,15,21993.0
100.0,6,18,23940.0
1000.0,1,1,9036.2
1000.0,1,3,20665.0
1000.0,1,6,22127.0
1000.0,1,9,20011.0
1000.0,1,12,22722.0
1000.0,1,15,20768.0
1000.0,1,18,23878.0
1000.0,2,1,7755.1
1000.0,2,3,22093.0
1000.0,2,6,28725.0
1000.0,2,9,29274.0
1000.0,2,12,33903.0
1000.0,2,15,35508.0
1000.0,2,18,34045.0
1000.0,3,1,8044.5
1000.0,3,3,18655.0
1000.0,3,6,20312.0
1000.0,3,9,20589.0
1000.0,3,12,20562.0
1000.0,3,15,19776.0
1000.0,3,18,21098.0
1000.0,6,1,9131.9
1000.0,6,3,21467.0
1000.0,6,6,25035.0
1000.0,6,9,24362.0
1000.0,6,12,23951.0
1000.0,6,15,24693.0
1000.0,6,18,23876.0
10000.0,1,1,8808.6
10000.0,1,3,16015.0
10000.0,1,6,18745.0
10000.0,1,9,18112.0
10000.0,1,12,19184.0
10000.0,1,15,19210.0
10000.0,1,18,19317.0
10000.0,2,1,6913.8
10000.0,2,3,23990.0
10000.0,2,6,27670.0
10000.0,2,9,30740.0
10000.0,2,12,31890.0
10000.0,2,15,27830.0
10000.0,2,18,30901.0
10000.0,3,1,8160.0
10000.0,3,3,18253.0
10000.0,3,6,16018.0
10000.0,3,9,19366.0
10000.0,3,12,18735.0
10000.0,3,15,18857.0
10000.0,3,18,19010.0
10000.0,6,1,8058.1
10000.0,6,3,19316.0
10000.0,6,6,26972.0
10000.0,6,9,25614.0
10000.0,6,12,26973.0
10000.0,6,15,25023.0
10000.0,6,18,25694.0
100000.0,1,1,7445.7
100000.0,1,3,17260.0
100000.0,1,6,18566.0
100000.0,1,9,18336.0
100000.0,1,12,17814.0
100000.0,1,15,21013.0
100000.0,1,18,20186.0
100000.0,2,1,6209.4
100000.0,2,3,23864.0
100000.0,2,6,26935.0
100000.0,2,9,29027.0
100000.0,2,12,29893.0
100000.0,2,15,29311.0
100000.0,2,18,32366.0
100000.0,3,1,9988.9
100000.0,3,3,18159.0
100000.0,3,6,17406.0
100000.0,3,9,21496.0
100000.0,3,12,19027.0
100000.0,3,15,19488.0
100000.0,3,18,17900.0
100000.0,6,1,7625.9
100000.0,6,3,19790.0
100000.0,6,6,24924.0
100000.0,6,9,25620.0
100000.0,6,12,25490.0
100000.0,6,15,26714.0
100000.0,6,18,27324.0
1000000.0,1,1,48918.0
1000000.0,1,3,43144.0
1000000.0,1,6,32533.0
1000000.0,1,9,35978.0
1000000.0,1,12,38675.0
1000000.0,1,15,39811.0
1000000.0,1,18,46272.0
1000000.0,2,1,35943.0
1000000.0,2,3,41319.0
1000000.0,2,6,52611.0
1000000.0,2,9,61403.0
1000000.0,2,12,60713.0
1000000.0,2,15,63734.0
1000000.0,2,18,63113.0
1000000.0,3,1,46742.0
1000000.0,3,3,17810.0
1000000.0,3,6,18378.0
1000000.0,3,9,19653.0
1000000.0,3,12,19028.0
1000000.0,3,15,20226.0
1000000.0,3,18,20100.0
1000000.0,6,1,36125.0
1000000.0,6,3,20157.0
1000000.0,6,6,24009.0
1000000.0,6,9,25312.0
1000000.0,6,12,26336.0
1000000.0,6,15,25389.0
1000000.0,6,18,26278.0
