Dataset_Name,intrinsic_dimension
Apache_AllMeasurements,7
auto93,1
healthCloseIsses12mths0001-hard,3
healthCloseIsses12mths0011-easy,3
HSMGP_num,10
nasa93dem,1
pom3a,9
pom3b,9
pom3c,9
pom3d,3
rs-6d-c3_obj1,6
rs-6d-c3_obj2,6
sol-6d-c2-obj1,5
SQL_AllMeasurements,16
SS-A,3
SS-B,3
SS-C,3
SS-D,3
SS-E,3
SS-F,3
SS-G,3
SS-H,4
SS-I,5
SS-J,6
SS-K,5
SS-L,11
SS-M,7
SS-N,3
SS-O,5
SS-P,11
SS-Q,7
SS-R,6
SS-S,6
SS-T,8
SS-U,8
SS-V,3
SS-W,3
SS-X,6
wc-6d-c1-obj1,5
wc+rs-3d-c4-obj1,3
wc+sol-3d-c4-obj1,3
wc+wc-3d-c4-obj1,3
Wine_quality,1
X264_AllMeasurements,8
xomo_flight,15
xomo_ground,15
xomo_osp,10
xomo_osp2,16
