Target 0
#
 0,                      lgbm,  2.43,  0.47,  --* --             |                   
#
 1,                        lr,  3.95,  0.70,       --  *--       |                   
#
 2,                      ours,  6.11,  1.39,             ---    *|-----              
#
 3,                  baseline,  8.65,  1.13,                     |   ---   * -----   
Target 1
#
 0,                      lgbm,  4.24,  1.39, -   *------         |                   
#
 1,                        lr,  7.70,  0.75,         ---  *-     |                   
#
 2,                      ours,  9.44,  2.18,          ----    * -|--                 
#
 3,                  baseline, 12.58,  3.12,                    -|     *  ---------  
