Target 0
#
 0,                      lgbm, 20.58,  3.50, - *                 |                   
#
 1,                      ours, 62.32, 25.17,           ---   *   | ---               
 1,                        lr, 66.97, 21.37,            ---    * |-----              
 1,                  baseline, 71.94, 22.27,              --     *  ---              
Target 1
#
 0,                      ours, 2829.48, 4030.54,  *---------         |                   
#
 1,                      lgbm, 13556.00, 8740.23,  --  *--            |                   
#
 2,                  baseline, 27507.29, 9013.39,       --- * --------|----               
#
 3,                        lr, 54892.96, 24100.15,             ------- *       -----       
