Target 0
#
 0,                      ours,  0.00,  0.12, *                   |                   
#
 1,                      lgbm,  0.31,  0.06, -*                  |                   
#
 2,                        lr,  3.43,  0.23,           --*       |                   
#
 3,                  baseline,  9.06,  0.76,                     |        -- * ---   
Target 1
#
 0,                      ours,  0.16,  0.04,  -*                 |                   
#
 1,                      lgbm,  0.28,  0.12,   -* -              |                   
#
 2,                        lr,  1.99,  0.21,                     |   -- * --         
#
 3,                  baseline,  2.52,  0.29,                     |       ----   *--- 
