Target 0
#
 0,                      ours,  1.74,  0.33, *----               |                   
#
 1,                      lgbm,  2.05,  0.15,  *---               |                   
#
 2,                        lr, 11.87,  0.92,                     | *--               
#
 3,                  baseline, 16.62,  1.61,                     |        -  * ---   
Target 1
#
 0,                      ours,  2.19,  0.22, *                   |                   
#
 1,                      lgbm,  2.43,  0.13, *                   |                   
#
 2,                        lr, 15.89,  0.94,           -*        |                   
#
 3,                  baseline, 40.17,  3.54,                     |       -- * --     
