Target 0
#
 0,                      lgbm,  9.23,  2.77, *                   |                   
#
 1,                      ours, 10.21,  0.58, *                   |                   
#
 2,                        lr, 330.46, 45.33,                     |-  *--             
#
 3,                  baseline, 446.75, 83.47,                     |     ---   *  ---- 
Target 1
#
 0,                      ours,  6.92,  0.55, *                   |                   
#
 1,                      lgbm, 134.12, 28.60, *                   |                   
#
 2,                  baseline, 11513.28, 1344.24,                     |   --  *---        
#
 3,                        lr, 13803.27, 813.16,                     |           - *--   
