Target 0
#
 0,                      lgbm,  0.45,  0.04, *                   |                   
#
 1,                        lr,  2.02,  0.11,           -*        |                   
#
 2,                      ours,  2.12,  0.64,       ---   *--     |                   
#
 3,                  baseline,  5.23,  0.36,                     |          -- * -   
Target 1
#
 0,                      lgbm,  1.41,  0.11, *                   |                   
#
 1,                        lr,  5.69,  0.44,        *            |                   
#
 2,                      ours,  9.36,  1.88,    --------  *--    |                   
#
 3,                  baseline, 23.40,  1.13,                     |            - *--  
