
Performance-:
#
 0,       Performance-lgbm-fs,  3.48,  0.20, *                   |                   
#
 1,          Performance-lgbm,  7.95,  0.57,   --*               |                   
#
 2,        Performance-knn-fs, 19.18,  2.42,             -  *-   |                   
#
 3,     Performance-linear-fs, 20.93,  1.03,                -*   |                   
#
 4,        Performance-linear, 20.95,  0.72,                -*   |                   
#
 5,           Performance-knn, 27.55,  4.01,                  ---|  * ------         

Cpu-:
#
 0,               Cpu-lgbm-fs,  9.11,  0.48,  -- *--             |                   
#
 1,             Cpu-linear-fs,  9.31,  0.32,   -- *--            |                   
#
 2,                  Cpu-lgbm,  9.43,  0.61,   -- * --           |                   
 2,                Cpu-linear,  9.62,  0.60,    -- *---          |                   
#
 3,                Cpu-knn-fs, 10.61,  1.06,      ---   * ---    |                   
#
 4,                   Cpu-knn, 13.65,  1.98,               ------|   *     ----      
