Target 0
#
 0,                      lgbm,  0.80,  0.08, *                   |                   
#
 1,                      ours, 14.00,  1.47,       *             |                   
#
 2,                        lr, 42.54,  3.44,                  - *|                   
#
 3,                  baseline, 77.17,  4.63,                     |           -- *-   
Target 1
#
 0,                      lgbm,  2.71,  0.06, *                   |                   
#
 1,                      ours,  5.54,  0.55,  *-                 |                   
#
 2,                        lr, 23.16,  1.67,           *         |                   
#
 3,                  baseline, 68.99,  3.23,                     |          - *-     
Target 2
#
 0,                      lgbm,  1.58,  0.10, *                   |                   
#
 1,                      ours,  6.13,  2.45,   --  *----------   |                   
#
 2,                        lr, 12.66,  0.45,               -*    |                   
#
 3,                  baseline, 27.80,  0.78,                     |              - *- 
