Target 0
#
 0,                      lgbm,  0.44,  0.03, *                   |                   
#
 1,                      ours, 10.88,  0.89,        *-           |                   
#
 2,                        lr, 12.95,  0.42,         -*          |                   
#
 3,                  baseline, 50.42,  1.70,                     |                *- 
Target 1
#
 0,                      lgbm,  0.67,  0.08, *                   |                   
#
 1,                        lr,  1.79,  0.13, -*                  |                   
#
 2,                      ours, 13.98,  2.13,          -  *-      |                   
#
 3,                  baseline, 41.86,  1.17,                     |                *- 
