Target 0
#
 0,                      lgbm,  3.75,  0.24,    *                |                   
#
 1,                        lr,  4.46,  0.24,         *--         |                   
#
 2,                      ours,  6.32,  0.50,                   --|- *  ------        
#
 3,                  baseline,  7.87,  0.41,                     |            -- * - 
Target 1
#
 0,                      lgbm,  9.32,  0.36,  - * ------         |                   
 0,                        lr,  9.55,  0.38,  --   *-----        |                   
#
 1,                      ours, 10.61,  0.90,         ------ *    | -------           
#
 2,                  baseline, 11.82,  0.39,                     | --- *  ----       
