
Lbs-:
#
 0,               Lbs-lgbm-fs,  6.34,  0.48, -*-                 |                   
#
 1,                  Lbs-lgbm,  7.02,  3.54,  - *     --         |                   
 1,             Lbs-linear-fs,  7.93,  0.53,    - *--            |                   
#
 2,                Lbs-linear,  8.65,  2.32,    -- *   -         |                   
#
 3,                Lbs-knn-fs, 10.95,  1.22,          -- *----   |                   
 3,                   Lbs-knn, 11.14,  7.57,     -----   *       |     -----------   

Acc+:
#
 0,               Acc+lgbm-fs, 10.16,  0.74,  -*--               |                   
#
 1,             Acc+linear-fs, 11.31,  1.12,    - *--            |                   
 1,                  Acc+lgbm, 11.35,  2.70,  --  *  ---         |                   
#
 2,                Acc+linear, 12.15,  1.70,     - * ---         |                   
#
 3,                Acc+knn-fs, 12.90,  1.66,      -  *-----      |                   
#
 4,                   Acc+knn, 16.66,  3.46,           --   *   -|------             

Mpg+:
#
 0,               Mpg+lgbm-fs, 15.28,  1.82, - *-                |                   
#
 1,                  Mpg+lgbm, 17.05,  2.05,  - *                |                   
#
 2,                Mpg+knn-fs, 18.35,  3.16,   - *---            |                   
 2,             Mpg+linear-fs, 18.64,  1.68,   - *               |                   
#
 3,                Mpg+linear, 19.32,  1.52,    -*-              |                   
#
 4,                   Mpg+knn, 56.31, 18.79,                  ---|        *   ---    
