Target 0
#
 0,                      ours, 35.50, 10.72,   --   *        ----|-----              
#
 1,                      lgbm, 53.00,  1.95,                     | ---* -            
#
 2,                  baseline, 57.90,  1.59,                     |       --*-        
#
 3,                        lr, 62.37,  1.51,                     |            - *--  
Target 1
#
 0,                      ours, 38.13,  6.83,    --   *  -------  |                   
#
 1,                      lgbm, 53.74,  1.47,                    -|*-                 
#
 2,                        lr, 70.24,  1.88,                     |            --*-   
#
 3,                  baseline, 71.26,  1.38,                     |            -- *   
Target 2
#
 0,                      ours, 47.78,  5.80, --- *-              |                   
#
 1,                      lgbm, 166.15,  1.35,                     |                -* 
#
 2,                  baseline, 168.45,  1.24,                     |                 * 
#
 3,                        lr, 169.79,  1.06,                     |                 -*
