Target 0
#
 0,                  baseline, 89.81, 12.46,     -------   *   --|-----              
 0,                      lgbm, 95.46, 10.72,      -------     *--|------             
 0,                      ours, 95.89, 11.12,         ------   *  |-------            
#
 1,                        lr, 106.25, 21.66,           ------    |  *    -----       
Target 1
#
 0,                      ours, 96.72, 10.09,   --------   *  ----|---                
 0,                  baseline, 96.83, 19.08,     -----    *     -|-                  
#
 1,                      lgbm, 106.12, 18.30,           -----   * |   ------          
 1,                        lr, 113.18, 14.64,           --------  | *  -----------    
Target 2
#
 0,                  baseline, 86.48, 11.84,         -   *  -----|                   
#
 1,                      ours, 93.04, 14.45,        ----    *  --|--                 
#
 2,                      lgbm, 96.18, 15.50,         -----    *  |---                
#
 3,                        lr, 104.83, 23.53,           -------   |*       -----      
Target 3
#
 0,                      lgbm, 34.10,  9.12,     ----     *     -|                   
 0,                      ours, 35.62,  5.62,        ----    *  --|-------            
#
 1,                  baseline, 36.00,  5.11,       ------   *  --|-----              
#
 2,                        lr, 39.07,  9.55,           ---      *|    -------------  
