Target 0
#
 0,                      lgbm, 10.87,  0.22, *                   |                   
#
 1,                      ours, 21.57,  1.09,           - *       |                   
#
 2,                        lr, 29.20,  0.70,                   - *                   
#
 3,                  baseline, 46.12,  0.42,                     |                 * 
Target 1
#
 0,                      lgbm, 16.28,  0.31, *                   |                   
#
 1,                        lr, 21.50,  0.32,          *          |                   
#
 2,                      ours, 28.26,  0.56,                     |*-                 
#
 3,                  baseline, 37.74,  0.67,                     |                 * 
Target 2
#
 0,                      lgbm, 84.78,  0.95,  --  *--            |                   
 0,                        lr, 85.02,  1.16,   -   *-            |                   
#
 1,                  baseline, 88.28,  1.38,            --   *-- |                   
#
 2,                      ours, 89.57,  2.55,               ----  *     -----         
