Target 0
#
 0,                      lgbm, 43.52,  0.85,   -- *-             |                   
#
 1,                        lr, 43.96,  1.16,    ---* -           |                   
#
 2,                      ours, 57.69,  1.35,                     |          --  *-   
#
 3,                  baseline, 58.97,  0.75,                     |            --- *- 
Target 1
#
 0,                      lgbm, 34.69,  0.59, - *                 |                   
#
 1,                        lr, 37.58,  0.89,      - *-           |                   
#
 2,                      ours, 52.28,  0.87,                     |           --*--   
#
 3,                  baseline, 53.75,  0.79,                     |             -- *- 
Target 2
#
 0,                      lgbm, 26.08,  1.13, -*-                 |                   
#
 1,                        lr, 26.24,  1.21, - *                 |                   
#
 2,                      ours, 57.43,  1.92,                     |             - *-  
#
 3,                  baseline, 58.64,  1.22,                     |               -*- 
Target 3
#
 0,                      lgbm, 74.57,  1.25,    -- *-            |                   
#
 1,                        lr, 90.68,  1.77,                   - *-                  
#
 2,                      ours, 105.11,  1.58,                     |          --*---   
#
 3,                  baseline, 107.48,  1.72,                     |             - *   
